RV12, BB12031.msf, tcoffee, 0.822, 0.650, clustalw, 0.766, 0.630, muscle, 0.827, 0.680
RV12, BB12032.msf, tcoffee, 0.912, 0.650, clustalw, 0.765, 0.590, muscle, 0.766, 0.400
RV12, BB12033.msf, tcoffee, 0.813, 0.700, clustalw, 0.652, 0.430, muscle, 0.689, 0.490
RV12, BB12034.msf, tcoffee, 0.885, 0.790, clustalw, 0.899, 0.820, muscle, 0.884, 0.790
RV12, BB12035.msf, tcoffee, 0.931, 0.660, clustalw, 0.807, 0.440, muscle, 0.907, 0.630
RV12, BB12036.msf, tcoffee, 0.973, 0.930, clustalw, 0.892, 0.790, muscle, 0.940, 0.880
RV12, BB12037.msf, tcoffee, 0.836, 0.570, clustalw, 0.769, 0.500, muscle, 0.769, 0.450
RV12, BB12038.msf, tcoffee, 0.867, 0.600, clustalw, 0.831, 0.560, muscle, 0.848, 0.520
RV12, BB12039.msf, tcoffee, 0.885, 0.700, clustalw, 0.716, 0.210, muscle, 0.912, 0.740
RV12, BB12040.msf, tcoffee, 0.961, 0.940, clustalw, 0.962, 0.930, muscle, 0.944, 0.890
RV12, BB12041.msf, tcoffee, 0.724, 0.480, clustalw, 0.607, 0.370, muscle, 0.641, 0.390
RV12, BB12042.msf, tcoffee, 0.726, 0.580, clustalw, 0.572, 0.410, muscle, 0.651, 0.540
RV12, BB12043.msf, tcoffee, 0.944, 0.580, clustalw, 0.802, 0.370, muscle, 0.905, 0.540
RV12, BB12044.msf, tcoffee, 0.875, 0.700, clustalw, 0.837, 0.590, muscle, 0.839, 0.610
RV12, BBS12001.msf, tcoffee, 0.866, 0.670, clustalw, 0.763, 0.560, muscle, 0.846, 0.630
RV12, BBS12002.msf, tcoffee, 0.897, 0.710, clustalw, 0.898, 0.740, muscle, 0.920, 0.780
RV12, BBS12003.msf, tcoffee, 0.958, 0.920, clustalw, 0.902, 0.780, muscle, 0.954, 0.880
RV12, BBS12004.msf, tcoffee, 0.945, 0.770, clustalw, 0.808, 0.460, muscle, 0.932, 0.740
RV12, BBS12005.msf, tcoffee, 0.908, 0.720, clustalw, 0.864, 0.640, muscle, 0.842, 0.670
RV12, BBS12006.msf, tcoffee, 0.932, 0.900, clustalw, 0.898, 0.850, muscle, 0.941, 0.890
RV12, BBS12007.msf, tcoffee, 0.872, 0.740, clustalw, 0.813, 0.670, muscle, 0.849, 0.700
RV12, BBS12008.msf, tcoffee, 0.945, 0.770, clustalw, 0.903, 0.670, muscle, 0.921, 0.710
